"filename", "language", "Solidity", "comment", "blank", "total"
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/LMTokenLP.sol", "Solidity", 30, 13, 14, 57
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/LoanManager.sol", "Solidity", 177, 20, 35, 232
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/LoanManagerStorage.sol", "Solidity", 28, 1, 14, 43
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/interfaces/IERC20Helper.sol", "Solidity", 6, 4, 4, 14
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/interfaces/ILoanManager.sol", "Solidity", 12, 10, 13, 35
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/interfaces/IPool.sol", "Solidity", 16, 1, 2, 19
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/interfaces/IPoolManager.sol", "Solidity", 49, 251, 45, 345
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/interfaces/IWithdrawalManager.sol", "Solidity", 33, 111, 23, 167
"/Users/angadsinghagarwal/Desktop/Nealthy/nstbl-loan-manager/contracts/interfaces/IWithdrawalManagerStorage.sol", "Solidity", 18, 36, 9, 63
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/LMTokenLP.sol", "Solidity", -30, -13, -14, -57
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/LoanManager.sol", "Solidity", -175, -20, -34, -229
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/LoanManagerStorage.sol", "Solidity", -26, -1, -13, -40
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/interfaces/IERC20Helper.sol", "Solidity", -6, -4, -4, -14
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/interfaces/ILoanManager.sol", "Solidity", -12, -10, -13, -35
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/interfaces/IPool.sol", "Solidity", -16, -1, -2, -19
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/interfaces/IPoolManager.sol", "Solidity", -49, -251, -45, -345
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/interfaces/IWithdrawalManager.sol", "Solidity", -33, -111, -23, -167
"/Users/harryrpo1/Desktop/nealthy/nstbl-loan-manager/contracts/interfaces/IWithdrawalManagerStorage.sol", "Solidity", -18, -36, -9, -63
"Total", "-", 4, 0, 2, 6
